jml_anggota_keluarga,luas_lantai,lantai,jumlah_kamar,sumber_air_minum,daya,bb_masak,kloset,buang_tinja,kondisi_atap,ada_sepeda,aset_tak_bergerak,id_partisipasi_sekolah,sta_art_usaha,kondisi_dinding,sta_bangunan,sta_lahan,fas_bab,ada_motor,ada_lemari_es,Cluster
3.0,70.0,4.0,3.0,6.0,2.0,3.0,1.0,1.0,Jelek,Tidak,Ya,Tidak bersekolah lagi,Tidak,Jelek,Bukan miliki sendiri,Bukan miliki sendiri,Pribadi,Tidak,Tidak,1
3.0,4.0,6.0,2.0,5.0,1.0,3.0,1.0,3.0,Jelek,Ya,Ya,Masih sekolah,Tidak,Jelek,Milik sendiri,Milik sendiri,Pribadi,Tidak,Tidak,1
3.0,4.0,6.0,2.0,5.0,1.0,3.0,1.0,3.0,Jelek,Ya,Ya,Tidak bersekolah lagi,Tidak,Jelek,Milik sendiri,Milik sendiri,Pribadi,Tidak,Tidak,1
2.0,34.0,6.0,2.0,6.0,1.0,3.0,1.0,3.0,Jelek,Ya,Ya,Tidak bersekolah lagi,Tidak,Jelek,Milik sendiri,Milik sendiri,Pribadi,Tidak,Tidak,1
3.0,45.0,2.0,1.0,6.0,3.0,3.0,2.0,3.0,Jelek,Ya,Ya,Tidak bersekolah lagi,Tidak,Jelek,Bukan miliki sendiri,Bukan miliki sendiri,Pribadi,Ya,Tidak,1
2.0,70.0,4.0,2.0,3.0,1.0,2.0,1.0,3.0,Jelek,Tidak,Tidak,Tidak bersekolah lagi,Tidak,Jelek,Milik sendiri,Milik sendiri,Pribadi,Tidak,Tidak,1
3.0,55.0,4.0,2.0,6.0,1.0,2.0,1.0,3.0,Jelek,Ya,Tidak,Tidak bersekolah lagi,Tidak,Jelek,Milik sendiri,Milik sendiri,Pribadi,Tidak,Ya,1
4.0,48.0,4.0,3.0,7.0,1.0,3.0,1.0,2.0,Jelek,Ya,Ya,Masih sekolah,Tidak,Jelek,Milik sendiri,Bukan miliki sendiri,Bersama,Tidak,Tidak,1
4.0,48.0,4.0,3.0,7.0,1.0,3.0,1.0,2.0,Jelek,Ya,Ya,Tidak bersekolah lagi,Tidak,Jelek,Milik sendiri,Bukan miliki sendiri,Bersama,Tidak,Tidak,1
4.0,48.0,4.0,3.0,7.0,1.0,3.0,1.0,2.0,Jelek,Ya,Ya,Tidak bersekolah lagi,Tidak,Jelek,Milik sendiri,Milik sendiri,Pribadi,Tidak,Ya,1
4.0,36.0,2.0,2.0,7.0,1.0,3.0,1.0,3.0,Jelek,Ya,Ya,Masih sekolah,Tidak,Jelek,Milik sendiri,Milik sendiri,Pribadi,Tidak,Tidak,1
4.0,36.0,2.0,2.0,7.0,1.0,3.0,1.0,3.0,Jelek,Ya,Ya,Tidak bersekolah lagi,Tidak,Jelek,Milik sendiri,Milik sendiri,Pribadi,Tidak,Tidak,1
3.0,64.0,6.0,3.0,7.0,6.0,3.0,1.0,2.0,Jelek,Tidak,Tidak,Masih sekolah,Tidak,Jelek,Milik sendiri,Milik sendiri,Pribadi,Tidak,Tidak,3
3.0,64.0,6.0,3.0,7.0,6.0,3.0,1.0,2.0,Jelek,Tidak,Tidak,Tidak bersekolah lagi,Tidak,Jelek,Milik sendiri,Milik sendiri,Pribadi,Tidak,Tidak,3
4.0,1000.0,6.0,2.0,6.0,1.0,8.0,1.0,1.0,Jelek,Tidak,Tidak,Masih sekolah,Ya,Jelek,Milik sendiri,Milik sendiri,Pribadi,Tidak,Tidak,0
4.0,1000.0,6.0,2.0,6.0,1.0,8.0,1.0,1.0,Jelek,Tidak,Tidak,Tidak bersekolah lagi,Ya,Jelek,Milik sendiri,Milik sendiri,Pribadi,Tidak,Tidak,0
2.0,840.0,6.0,1.0,6.0,1.0,8.0,1.0,1.0,Jelek,Tidak,Tidak,Tidak bersekolah lagi,Tidak,Jelek,Milik sendiri,Milik sendiri,Bersama,Ya,Tidak,0
3.0,840.0,6.0,3.0,6.0,1.0,8.0,1.0,1.0,Jelek,Tidak,Tidak,Masih sekolah,Tidak,Jelek,Milik sendiri,Milik sendiri,Bersama,Tidak,Ya,0
3.0,840.0,6.0,3.0,6.0,1.0,8.0,1.0,1.0,Jelek,Tidak,Tidak,Tidak bersekolah lagi,Tidak,Jelek,Milik sendiri,Milik sendiri,Bersama,Tidak,Ya,0
1.0,720.0,2.0,3.0,6.0,1.0,3.0,1.0,1.0,Jelek,Tidak,Tidak,Tidak bersekolah lagi,Tidak,Jelek,Milik sendiri,Milik sendiri,Pribadi,Tidak,Ya,3
4.0,560.0,6.0,3.0,6.0,1.0,3.0,1.0,1.0,Jelek,Tidak,Tidak,Masih sekolah,Tidak,Jelek,Milik sendiri,Milik sendiri,Pribadi,Ya,Ya,3
4.0,560.0,6.0,3.0,6.0,1.0,3.0,1.0,1.0,Jelek,Tidak,Tidak,Tidak bersekolah lagi,Tidak,Jelek,Milik sendiri,Milik sendiri,Pribadi,Ya,Ya,3
4.0,420.0,2.0,3.0,6.0,2.0,8.0,1.0,1.0,Jelek,Ya,Tidak,Masih sekolah,Tidak,Jelek,Milik sendiri,Milik sendiri,Pribadi,Ya,Tidak,0
4.0,420.0,2.0,3.0,6.0,2.0,8.0,1.0,1.0,Jelek,Ya,Tidak,Tidak bersekolah lagi,Tidak,Jelek,Milik sendiri,Milik sendiri,Pribadi,Ya,Tidak,0
2.0,900.0,6.0,2.0,6.0,1.0,8.0,1.0,1.0,Jelek,Tidak,Tidak,Tidak bersekolah lagi,Tidak,Jelek,Milik sendiri,Milik sendiri,Pribadi,Ya,Tidak,0
4.0,1150.0,6.0,2.0,6.0,1.0,8.0,4.0,4.0,Jelek,Tidak,Tidak,Masih sekolah,Ya,Jelek,Milik sendiri,Milik sendiri,Tidak ada,Ya,Tidak,2
4.0,1150.0,6.0,2.0,6.0,1.0,8.0,4.0,4.0,Jelek,Tidak,Tidak,Tidak bersekolah lagi,Ya,Jelek,Milik sendiri,Milik sendiri,Tidak ada,Ya,Tidak,2
5.0,400.0,6.0,1.0,6.0,1.0,3.0,1.0,1.0,Jelek,Tidak,Ya,Masih sekolah,Ya,Jelek,Bukan miliki sendiri,Bukan miliki sendiri,Pribadi,Ya,Tidak,3
